Loc,WH_mean,WH_sd,WH_min,WH_max,RH_mean,RH_sd,RH_min,RH_max,SH_mean,SH_sd,SH_min,SH_max,BH_mean,BH_sd,BH_min,BH_max,CD_mean,CD_sd,CD_min,CD_max,RD_mean,RD_sd,RD_min,RD_max,CW_mean,CW_sd,CW_min,CW_max,SIL_mean,SIL_sd,SIL_min,SIL_max,BL_mean,BL_sd,BL_min,BL_max,HL_mean,HL_sd,HL_min,HL_max,HW_mean,HW_sd,HW_min,HW_max,EL_mean,EL_sd,EL_min,EL_max,MD_mean,MD_sd,MD_min,MD_max,NL_mean,NL_sd,NL_min,NL_max,NG_mean,NG_sd,NG_min,NG_max,TL_mean,TL_sd,TL_min,TL_max,HG_mean,HG_sd,HG_min,HG_max,CC_mean,CC_sd,CC_min,CC_max,AG_mean,AG_sd,AG_min,AG_max,BD_mean,BD_sd,BD_min,BD_max,RL_mean,RL_sd,RL_min,RL_max,RW_mean,RW_sd,RW_min,RW_max,TC_mean,TC_sd,TC_min,TC_max,HC_mean,HC_sd,HC_min,HC_max,BW_mean,BW_sd,BW_min,BW_max,MI_mean,MI_sd,MI_min,MI_max,IGS_mean,IGS_sd,IGS_min,IGS_max,IAT_mean,IAT_sd,IAT_min,IAT_max,USI_mean,USI_sd,USI_min,USI_max,BI_mean,BI_sd,BI_min,BI_max,IP_mean,IP_sd,IP_min,IP_max,CDI_mean,CDI_sd,CDI_min,CDI_max,SI_mean,SI_sd,SI_min,SI_max,Ba_mean,Ba_sd,Ba_min,Ba_max,IBR_mean,IBR_sd,IBR_min,IBR_max,PI_mean,PI_sd,PI_min,PI_max,IC_mean,IC_sd,IC_min,IC_max,BR_mean,BR_sd,BR_min,BR_max,TD_mean,TD_sd,TD_min,TD_max
adjohoun,49.63265306122449,3.20119689563542,43.7,56.6,50.9,2.6941294203013584,46,57.6,33.95102040816327,2.568164264036635,26.1,38.7,49.39795918367347,2.8635998466323214,43.8,55.8,23.33469387755102,1.9958865010741638,19.8,28.5,23.557142857142857,2.537551313110075,19.2,31.5,13.491836734693878,1.517102053078758,9.9,17.5,50.7734693877551,4.059185853828126,42.4,59.6,71.41224489795918,5.5944404193308,60.5,84.6,16.738775510204082,1.8286853573139425,13.2,21.2,8.185714285714285,0.6069047152011041,6.5,9.6,9.875510204081632,0.9915330327841029,7.7,11.7,18.724489795918366,1.2863920171427943,15.3,21.1,20.314285714285713,2.3191233976080996,14.5,25.8,21.183673469387756,2.168462102771562,17.3,26.2,19.489795918367346,4.039711463394755,10.7,32.2,59.6469387755102,4.4507537770217604,50.1,72.7,72.48571428571428,7.453802161760577,56.2,94.6,64.21836734693878,6.348643997913641,47.6,82.8,30.518367346938774,3.437760503425386,25.8,38.4,11.787755102040816,1.3954737327429385,10,15.5,7.9918367346938775,1.0578745858823637,6,10.8,5.979591836734694,0.5560199306367588,5.1,7.6,16.56326530612245,1.5522421790149001,13.2,20.6,16.689591836734692,4.0678008796644205,11.4,31.9,33.52448979591837,7.143092835397146,21.23,56.36,1.1340816326530612,0.1365179836649574,0.95,1.47,0.42448979591836733,0.04641574914517144,0.33,0.53,52.965714285714284,2.8898096823147372,48.74,59.59,10.04061224489796,0.8008417659023569,8.37,12.44,68.75816326530612,12.092543272865408,42.86,93.14,47.03938775510204,2.892976702408831,40.41,51.26,98.11020408163266,7.159456302039724,84.56,120.67,0.30244897959183675,0.05599593036718896,0.17,0.47,85.34183673469387,6.8398698432637675,72.78,106.43,1.252857142857143,0.05711829829397933,1.17,1.46,49.32673469387755,5.336161380834816,41.41,61.27,0.6673469387755102,0.046982953921434874,0.52,0.74,1.7648979591836735,0.16825232104614474,1.52,2.38
Aplahoue,54.527419354838706,2.89369973375391,44.8,60.6,54.47741935483871,2.842442920391687,44.6,60.4,34.33548387096774,2.5805766780971395,23.8,38.8,52.97258064516129,2.8223446452671985,42.6,60.3,25.40483870967742,1.372615956385069,22.5,28,26.420967741935485,1.779955525026821,23,30.5,13.064516129032258,1.142917861195855,10.8,15.3,51.811290322580646,2.318924626314483,44.3,57.2,74.33387096774193,3.301760263183375,64.9,79.7,18.78548387096774,0.7867440215681937,16.8,21.2,8.23225806451613,0.4776219073799979,7,9.2,10.417741935483871,0.7608287529578125,9,13.6,18.408064516129034,0.9095663508447892,16.3,20.5,23.438709677419354,1.335683632747687,21.3,27.6,21.783870967741937,1.4604281371342702,18.4,25.4,22.711290322580645,2.6807819289148855,10.8,31.8,61.36290322580645,3.1826493691380247,54.3,67.6,72.84838709677419,4.688064438077668,63.8,81.8,67.45967741935483,4.294237834908593,57.6,77.8,30.906451612903226,2.408242061232458,26,35.6,10.746774193548386,0.553296452698742,9.8,12.4,8.396774193548387,0.47871677582288374,7.6,9.6,6.037096774193548,0.42435442616498886,5.4,7.4,15.04516129032258,0.8334556582174611,13.2,17.6,20.879032258064516,2.3323903939439536,17,26,38.291612903225804,3.7310887935567205,31.6,46.67,1.1487096774193548,0.11140656411434241,0.72,1.45,0.41096774193548385,0.027740582653670014,0.36,0.52,53.347741935483874,2.493749181752502,41.96,59.14,9.843548387096774,0.5805681128738301,8.52,12.25,78.22564516129032,4.274978140474355,66.1,85.71,46.652258064516126,2.493749181752502,40.86,58.04,105.29064516129033,4.355114525217803,86.99,116.93,0.2745161290322581,0.0345783699733788,0.22,0.4,84.54016129032259,3.637869351169983,76.59,94.51,1.2967741935483872,0.06129140804516281,1.16,1.62,43.83725806451613,2.123918563283086,38.04,48.86,0.6301612903225806,0.04071057120876395,0.44,0.76,1.7959677419354838,0.15191088497913974,1.5,2.58
bassila,65.54285714285714,5.378307398818934,56.8,73.2,68.41428571428571,5.414618660450174,59.9,76.3,37.957142857142856,5.265883003782348,31.8,46.1,66.51428571428572,5.069657638482955,58,74,29.357142857142858,0.7524562952029019,28.5,30.3,30.17142857142857,1.5734402707806496,27.1,32,16.414285714285715,0.4980915960897538,15.5,17.1,65.42857142857143,3.1810450514017603,60.8,69.7,93.12857142857143,5.147074989970606,85.4,99.1,17.900000000000002,1.6980380835933369,16.1,20.5,10.428571428571429,0.6575568054403759,9.7,11.5,12.014285714285714,1.7985443849852318,10.5,15.3,19.485714285714288,0.924533344321288,18.2,20.5,22.9,1.7088007490635058,20.5,25.4,26.02857142857143,1.5359191446972784,23.8,27.3,35.042857142857144,4.620193770415964,29.2,43.1,76.7,3.625833237569909,71.6,81.2,88.55714285714285,4.182844782703572,80.1,93,81.14285714285714,5.297438734224034,69.5,85,37.15714285714286,3.4717225037230635,33.4,43.8,15.057142857142857,1.2594405409508131,13.6,16.8,16.6,0.8082903768654759,15.5,17.4,7.057142857142857,0.2819996622760559,6.8,7.5,18.814285714285713,1.0854009572942334,17.5,20.3,35.57142857142857,4.246847570341357,30.5,40.5,54.254285714285714,4.395307562779715,46.64,59.05,1.2285714285714286,0.14667748877822295,0.97,1.44,0.4085714285714286,0.05669467095138409,0.36,0.51,55.002857142857145,3.0697921443517666,49.3,59.02,9.218571428571428,0.5280602418736137,8.45,10.06,110.74428571428571,8.67691353946947,102.38,123.4,44.997142857142855,3.0697921443517666,40.98,50.7,100.09428571428572,5.185797454403251,89.45,106.09,0.5185714285714286,0.035321651258386086,0.49,0.58,85.36285714285714,3.55274407693412,81.81,91.48,1.41,0.07325753658611968,1.31,1.53,58.65428571428571,6.1218974649555,51.56,67.25,0.5528571428571428,0.043861253103502675,0.49,0.62,2.045714285714286,0.22269988346480585,1.69,2.31
bonou,49.61142857142857,3.3560105367368966,42,56.3,51.30571428571429,3.282748387371459,42.9,58.2,33.457142857142856,3.039377424087114,25.3,41.3,49.68857142857143,3.337026805280363,41.8,57.2,22.54,2.0779231713136928,18,27.2,22.645714285714284,2.1511068091105288,18.3,29.3,13.331428571428571,1.4571873448473236,10.1,15.8,50.81428571428572,4.564449767570268,45.5,64.2,66.88,6.312303578772827,56.4,80.8,15.905714285714286,1.6998170934722667,13.1,18.6,7.7542857142857144,0.7118091520257119,6.8,10.1,10.06,0.9885223672675472,8.2,11.8,18.925714285714285,1.3519795632685423,16.2,22,19.737142857142857,2.7724575755822416,13.5,26,20.12,2.0613816040818493,17,25.7,18.905714285714286,3.7221864903450985,12.2,28,58.21142857142857,4.968889769980663,49.5,72.3,71,8.014288710135903,58.4,95.4,63.60285714285715,8.104700368750647,50.5,84.8,29.165714285714287,1.583730305535721,25.8,33.9,11.531428571428572,1.4480760925268736,10,15,7.825714285714286,0.900112037844328,6.8,10,5.82,0.5671393645511916,5,7.2,19.64,1.8541210062674853,16.2,23.4,14.78657142857143,2.8605521298160186,10.2,24.85,29.788857142857143,5.374675788541367,22.02,49.9,1.2134285714285715,0.19161761642492517,0.83,1.9,0.44971428571428573,0.051932405970799844,0.36,0.56,54.50857142857143,3.68609401340094,45.38,65.52,10.01142857142857,0.7147074385292738,8.31,11.71,69.22,13.31172349295692,46.26,92.16,45.49142857142857,3.6860940134009406,34.48,54.62,98.33114285714285,6.95696551980082,84.42,112.15,0.30457142857142855,0.060212508820737524,0.21,0.49,87.64028571428571,8.237109175130874,73.95,104.9,1.2714285714285714,0.06508559328900301,1.16,1.53,49.46885714285714,8.202957777687326,39.01,66.45,0.6531428571428571,0.04921569743435096,0.48,0.76,1.7534285714285713,0.23872138395976145,1.39,2.86
Bopa,52.28292682926829,3.2994622621742766,48.5,64.5,53.28292682926829,5.32437331706861,48.7,79.6,32.74146341463415,3.1217763861106467,29.6,49.6,51.30731707317073,3.1532039455054632,47.5,62.5,22.92439024390244,1.972914150160224,20.3,30.5,24.770731707317072,2.199459467964689,21,32,12.792682926829269,0.9158029929800511,10.8,15.8,49.13170731707317,3.10301780726362,42.8,61.6,72.10243902439024,4.5884903729264845,63.8,91.8,19.09268292682927,1.4022107979726943,16.8,25.6,9.397560975609757,0.5939224717410722,8.4,11.8,10.804878048780488,1.2035263228347346,10,17,18.314634146341465,1.069944151722359,16.5,21.6,21.16829268292683,1.574077352672073,17.5,25.8,22.153658536585365,1.7656581720389153,19.5,27.5,22.202439024390245,3.575995512083177,16.8,40.8,59.609756097560975,5.387615654352525,51.5,79.5,72.75317073170731,6.472009903818284,61.8,89.4,67.2,6.2819582933986435,56.8,82.6,30.33170731707317,2.5609020895370285,25.8,39.8,11.014634146341464,1.0384028542934953,9.8,16.5,9.363414634146341,0.7529130419779485,8.2,12.4,5.741463414634146,0.42366001094987565,5,7,15.434146341463414,1.1733732901548342,13.5,18.5,19.46121951219512,4.149503702325105,14.75,38.5,36.98756097560975,5.533137347151165,29.15,59.69,1.2865853658536586,0.11206270021951019,1.09,1.49,0.4721951219512195,0.03704809003997044,0.42,0.56,56.17146341463415,2.145176637220825,52.05,59.8,9.658536585365853,0.5537894950954276,8.59,11.17,85.19731707317074,4.857341878224264,75.15,96.3,43.829268292682926,2.1460910864218956,40.2,47.95,106.47243902439024,3.513916462074621,100.98,114.86,0.35292682926829266,0.027770839241822023,0.3,0.42,82.67024390243903,3.896036118803878,72.93,90.87,1.3158536585365854,0.08074576180073162,1.15,1.77,49.28780487804878,2.051601218798529,44.86,52.75,0.6168292682926829,0.04719316817031063,0.39,0.77,1.8234146341463415,0.11405283328566548,1.6,2.04
Boukoumbé,56.07096774193548,3.205224230157915,51,65,56.174193548387095,3.250535108966469,51.5,64.5,35.49032258064516,2.592341906296271,31.8,41,54.42580645161291,2.731174075000894,50,62,26.93548387096774,1.364685162005453,25,30,27.3,1.5947831618540913,24.8,30,13.638709677419355,1.0352704700881596,12,16.8,54.87741935483871,2.6615421190755,50.6,60.4,79.86774193548386,3.6242136707405628,73.8,88.6,19.848387096774193,1.2719724755255608,17.6,22.5,8.82258064516129,0.6907530564146905,7.5,10,10.893548387096775,1.3140105235172124,9,15,19.625806451612902,1.233684925182948,17.5,22,23.55483870967742,1.4308129879378413,21.5,26.8,22.44516129032258,1.462837131439546,20,25,25.93548387096774,4.320767554273721,16.5,36,64.56129032258065,2.740763569926555,59.6,72.6,73.98064516129033,4.2655534502053944,66.5,83.5,69.3225806451613,4.06183125182221,62.8,76.9,32.47096774193548,3.354816790664541,28,43,11.638709677419355,0.7251102993590418,10,13.4,8.687096774193549,0.6591620617540986,7.8,9.8,6.158064516129032,0.5572397410740355,5,7,16.309677419354838,1.2364882635134276,14,18.5,24.048387096774192,3.2973596475303224,19,33,42.785483870967745,4.24664089896134,35.51,50.88,1.086774193548387,0.0821943670727783,0.96,1.28,0.40419354838709676,0.03998117836752581,0.33,0.54,51.91225806451613,1.8625837067139104,49.02,56.15,9.538064516129033,0.7603307146886312,8,10.97,74.8058064516129,6.031909467818378,65.08,86.24,48.08774193548387,1.8625837067139104,43.85,50.98,102.18354838709678,3.280856136627651,95.41,109.06,0.2764516129032258,0.034789690723620426,0.2,0.33,85.00516129032258,2.2163616897485268,81.09,88.85,1.2938709677419356,0.02928906728398146,1.23,1.36,44.4441935483871,1.9468072566701762,41.03,47.5,0.6312903225806452,0.02334408354506856,0.58,0.68,1.824516129032258,0.10049340640650407,1.69,2.04
dangbo,48.45789473684211,3.9908667659870147,38.6,54.6,50.1,3.994162406980134,39.9,56.5,33.373684210526314,3.8477759962033997,20.3,38,48.72105263157895,4.152988073847609,38.5,56,23.042105263157893,2.079347063509677,18.1,27,22.510526315789473,2.522761876471919,17.1,26.6,13.905263157894737,1.97975129869344,10.4,17.3,51.33684210526316,4.560970964646769,43.5,60,68.38947368421053,5.8066910386823105,60,78.6,15.489473684210527,1.8067449973308676,13.1,19.2,8.494736842105263,0.6645580688702716,7.2,9.2,9.715789473684211,1.0894765093050356,8.3,12.4,18.973684210526315,2.6290771733872194,14.7,24.5,19.794736842105262,2.6906161384854514,15.9,26,21.189473684210526,2.2308181700000427,17.5,25.3,17.931578947368422,3.4242683941373113,12.4,24.6,58.78947368421053,5.558366540314811,49.3,70.2,71.10526315789474,8.064701805068701,54.2,86.8,63.6,10.762899237658969,48.6,87,29.46842105263158,1.4821353332941054,27.6,33.8,11.842105263157894,1.6707668862842877,10.1,16.5,8.226315789473684,0.6870566087490397,6.8,9.2,6.089473684210526,0.422814297091006,5.3,6.9,19.926315789473684,1.417290884149192,16.2,22.1,15.873684210526315,2.178463297643843,11.92,20.37,32.83736842105263,4.199428323666691,23.89,38.87,1.108421052631579,0.12816062655445473,0.9,1.41,0.42526315789473684,0.0669467799451866,0.33,0.57,52.40052631578948,2.7865001419227795,47.27,58.43,10.416842105263157,0.9295402246485981,9.06,12.67,70.70631578947368,11.242494884502735,48.48,90.1,47.59947368421052,2.7865001419227795,41.57,52.73,94.72736842105263,7.828008006940536,79.55,113.57,0.31157894736842107,0.056496131420629814,0.21,0.42,87.57368421052632,6.202908108770269,74.5,98.15,1.2610526315789474,0.11536871985277393,1.07,1.64,55.677368421052634,8.668977795760686,42.35,69.47,0.6689473684210526,0.08862497370895114,0.44,0.88,1.7826315789473683,0.25995388704886263,1.45,2.53
